"sample_id","tree","Intercept","log_n_speakers_norm","n_segments_norm","delta_norm","log_n_speakers_norm.n_segments_norm","log_n_speakers_norm.delta_norm","n_segments_norm.delta_norm"
1,"heggarty2024",-6.22708281322395,0.0963562214249946,0.0233456317868778,-0.05861691213853,0.00787519470942065,0.0837663878751204,-0.0586566964579295
2,"heggarty2024",-6.18336081217389,0.0981968798290775,0.0688214050544143,-0.0599176333491753,-0.0388493048905692,0.0534168756391561,-0.028606674439309
3,"heggarty2024",-5.73469084184185,-0.228896497448471,0.0481417771125248,-0.258242709371587,0.151513512974769,-0.170001686148202,0.0453580856451848
4,"heggarty2024",-5.85571916115713,0.0285470250032752,-0.113229449310158,0.0484417158428385,-0.0364257155288278,0.209668848404457,-0.0880309774575813
5,"heggarty2024",-5.85059886878651,0.0220706423650058,-0.0902263430880156,0.0950908455056542,-0.0234077681544224,0.249697009058489,-0.0604811491704431
6,"heggarty2024",-5.79657885147564,0.135856398058867,-0.138401310706059,0.158107071510477,0.0543430223658442,0.368666349598478,0.138378516504793
7,"heggarty2024",-6.05875599795859,0.0267997215684992,0.105295152102269,-0.19771711235619,-0.088750538843622,-0.357920726030158,-0.0521555381730706
8,"heggarty2024",-5.74092669112048,-0.190690616516672,-0.106575478981038,-0.0868050466972611,0.160099036394974,0.0882155799624271,0.159207544607812
9,"heggarty2024",-5.8868332100363,0.163568664182577,0.018577248593294,-0.0699558305325418,-0.0188916951582617,-0.0704952645704345,-0.119633997514079
10,"heggarty2024",-5.83622356274058,-0.150077432458869,-0.0670526666341022,0.0142814343902223,0.10552072582458,0.0605023201832013,0.124901375942049
11,"heggarty2024",-5.79313515633646,0.119186382760973,0.0184415623256465,-0.0421331749574103,0.0224582095743013,0.0473628285204644,-0.0451716011089773
12,"heggarty2024",-5.80848018778125,0.0874279759750547,0.0312090174148446,-0.131667491537443,0.0288853487137953,-0.00222529031683925,-0.113898134332731
13,"heggarty2024",-5.89707028429418,-0.126177483921661,-0.127132084187999,-0.00322540328577386,0.0548275573552694,-0.125311164895458,0.242526566683647
14,"heggarty2024",-5.80782139866287,0.0356591387940511,0.111608721667381,-0.084930298376419,0.00559033247815844,-0.095001296753245,0.0376141183692458
15,"heggarty2024",-5.97092887225139,-0.0168311496630553,-0.226764432578474,-0.129051780259434,0.075171607099348,0.0633499956685421,-0.0582134412114498
16,"heggarty2024",-5.89665102672996,-0.16313162202204,-0.055718228427705,-0.243346612962522,-0.0257170586940323,-0.154282124837082,-0.127249846573816
17,"heggarty2024",-5.82755747858025,0.0154853635996792,-0.0861599422800731,-0.0833401115948321,0.0132695769436723,-0.0916841920017281,0.0160204890300269
18,"heggarty2024",-5.86796786549281,-0.0180848889763396,0.0279041809948189,0.0475406035439502,0.174829054145493,0.105955845179221,0.185693761071202
19,"heggarty2024",-5.8029433098809,-0.138186880220626,-0.0690785368409723,-0.357127192471408,0.0755278404525264,-0.0769005516468144,-0.158370841322475
20,"heggarty2024",-5.9078272736982,-0.0681158495641947,-0.188659958571179,-0.236601484489212,0.0301592167004784,-0.185742682283708,0.0315217925073242
21,"heggarty2024",-6.00586756968544,0.00597297022305684,0.0318429696907642,-0.109166284440198,-0.0395944015426095,-0.291817540652175,-0.143134107921878
22,"heggarty2024",-5.69640339355611,-0.0602123428681147,0.0713882039382586,-0.0543653962843209,0.111395521242612,0.0262532876316461,0.252664403804427
23,"heggarty2024",-5.90097831215104,-0.192279711273482,0.0290328462791807,-0.350264689762676,-0.0173487661049007,-0.257328651701282,-0.31058598698197
24,"heggarty2024",-5.82319449484017,0.155858137483311,-0.0266615898352552,0.186086165236625,0.0650209927201069,0.136300527854737,0.283337675561357
25,"heggarty2024",-5.98191281778793,-0.160912501835483,0.027986094761749,-0.296044885933703,0.0613491329966704,-0.229718768444727,-0.167284396332175
26,"heggarty2024",-5.77905718223566,0.17933833912855,-0.0014862992238473,0.0147627517917682,-0.00400059575027668,0.125059495361395,0.0838914283958877
27,"heggarty2024",-5.91530015326749,-0.099466348644814,-0.111576531058158,-0.101239372599177,0.145007111835575,-0.0886004801133389,-0.0813194870080571
28,"heggarty2024",-5.79810896727082,-0.0976412931860281,0.0694448778936283,-0.01503452681933,0.0793300735060977,-0.0164473005549284,0.061924992476075
29,"heggarty2024",-5.99203651985848,-0.00980715244718794,-0.171835645806971,-0.192392965161667,0.0557280188363383,-0.0832563390896053,-0.0774757741960325
30,"heggarty2024",-5.72142516795067,-0.115513518882875,0.144201865390425,-0.0359458341745507,-0.0197284797128982,0.0364963015559896,0.0288898105706071
31,"heggarty2024",-5.75771595384496,0.0582255637640689,-0.0779401859365101,-0.0416756963393747,0.0170586182005191,0.116785479623987,0.0456623119708491
32,"heggarty2024",-6.07152180949932,-0.0820499674178571,-0.070536075031822,-0.176956809158927,0.16983875788851,-0.168200642993176,0.0261051701358893
33,"heggarty2024",-5.60492458606742,0.0195814742305432,-0.0807306409808089,-0.121751815112672,-0.0488317894943909,0.113474180585731,-0.0506096775567814
34,"heggarty2024",-5.91222270643396,-0.0426170052564583,0.0444343708091662,-0.109582706731588,0.0737102493130658,-0.146233317960323,0.00523862730866963
