"sample_id","tree","Intercept","log_n_speakers_norm","n_segments_norm","delta_norm","log_n_speakers_norm.n_segments_norm","log_n_speakers_norm.delta_norm","n_segments_norm.delta_norm","log_n_speakers_norm.n_segments_norm.delta_norm"
1,"long_v3_CCD0.0.25",1.98272853011327,0.00515293480366629,-0.0155162188972378,-0.0772156113042419,-0.0371892093127922,-0.000527584122474391,0.146774175999962,-0.0126680254500444
2,"long_v3_CCD0.0.25",1.87741874902084,0.0116542885694206,0.0324486151088451,-0.0718454097460349,-0.0165061289347071,0.03674441891963,0.00889632039713676,0.0586022500096881
3,"long_v3_CCD0.0.25",2.02207816344644,0.0374776896972871,0.0440455184761676,-0.0886985366142055,-0.00684619599117358,0.00979822368056092,0.0566760086870162,-0.000812836389675811
4,"long_v3_CCD0.0.25",1.81456660840787,0.0045764616504173,0.0740558290748613,-0.0553769244358919,-0.0265788338938145,-0.0141042548451759,0.00708060206213466,-0.00873289852033578
5,"long_v3_CCD0.0.25",1.78851105381969,0.0608716525486743,0.0265199168414073,-0.0439575766994673,0.0579036878886689,0.00604087921041095,0.0528284729037906,-0.0137911425465109
6,"long_v3_CCD0.0.25",2.08065207156257,0.0329901400670758,-0.0561498529326998,-0.0885697354326058,-0.0668438855381264,0.0844381408784098,0.111146176914439,0.018661942418624
7,"long_v3_CCD0.0.25",1.97756191348668,-0.0141034362961966,0.0221921983961601,-0.147149408542009,-0.0322289318284983,-0.0316029901663477,-0.0122481843880296,0.00591126979041695
8,"long_v3_CCD0.0.25",2.08164856414168,0.0841574954494833,-0.00782267204205501,-0.113995995442204,0.0115025310941867,0.0566035478739654,0.133500148659091,-0.0207027305731836
9,"long_v3_CCD0.0.25",2.0539102065912,0.0586398069050986,-0.00313043265714298,-0.149741250589029,-0.0824337016085844,-0.0356261910038355,0.0511622257917917,0.0607234577000876
10,"long_v3_CCD0.0.25",2.03554497288042,0.0245270320111258,0.0182839669985129,-0.109333817077952,-0.00464290471240827,-0.0380983470018146,0.0192852329996697,0.0614275212452845
11,"long_v3_CCD0.0.25",1.94333438737319,-0.00858095776972531,0.0770223357059734,-0.1961993285692,-0.0613096570149457,0.0594440917505101,-0.0336266248278748,0.0541121900795108
12,"long_v3_CCD0.0.25",2.03331035165983,-0.0116780867629492,0.0665306957633435,-0.120129694518766,-0.0311852004493822,0.0522195885592671,-0.0315106369445151,0.0300871329543113
13,"long_v3_CCD0.0.25",1.97254891751195,0.0312325468922927,0.0270533857762825,-0.1850910877541,0.00570247281022405,0.130433703385531,0.00701676801335638,-0.0279978360090928
14,"long_v3_CCD0.0.25",2.03027306910563,0.130872410255513,-0.0147222156814638,-0.0560580436165209,0.0162628161597242,0.0887251396975384,0.0795868241318141,0.000367508484552886
15,"long_v3_CCD0.0.25",2.17782945451871,0.084475212146959,0.0357042491764597,-0.106764756415656,-0.0320180408881638,0.0639832303835583,0.0585388698963935,0.0520656009567415
16,"long_v3_CCD0.0.25",2.08806374767828,-0.00191176459286287,0.0473830312033074,-0.0998369779382003,-0.0403984787511864,0.00397615812977126,0.077384695936348,0.0165385571829763
17,"long_v3_CCD0.0.25",2.04927389458304,0.0560293666172974,0.0498184052638262,-0.139853180552822,-0.0304622501664259,0.0841181770708972,0.0683154288011281,-0.0158140357441179
18,"long_v3_CCD0.0.25",1.85732560942258,0.0466858939739824,-0.0145136778237376,0.00758000191103653,-0.0171326573689224,-0.0266002419235029,0.0454020045841058,0.0997018469175013
19,"long_v3_CCD0.0.25",1.99909775613873,0.107782404252605,0.00785098942426576,-0.0583370636423248,0.00564928859169541,0.0538649293753615,0.0445426116536474,0.101371974525668
20,"long_v3_CCD0.0.25",1.87535943386942,0.0955254902624651,0.00682138818423025,-0.110469312971466,-0.0417507035608571,0.115972596041506,0.0663225720536575,0.0698476301325673
21,"long_v3_CCD0.0.25",1.76995250238344,-0.0356164156672912,-0.0311571884060764,-0.0754351615033793,-0.0213640157268755,-0.0196534210757026,-0.00776941155077226,-0.0508116461391294
22,"long_v3_CCD0.0.25",1.72450451344797,-0.0133848491462341,0.0355710989360436,-0.00519115003378788,0.0173932738910598,-0.0057932316475682,-0.0206123992608321,-0.0554340546402507
23,"long_v3_CCD0.0.25",1.85643800836168,0.077389167231153,-0.0312711900423064,-0.110173717782893,-0.013338883769065,-0.0399669290723566,0.0805724335938775,0.00962431620471264
24,"long_v3_CCD0.0.25",1.92970344536396,-0.0959817067558536,0.0233024819502907,-0.10117353624834,-0.0370456544357224,0.050653949441015,0.0255054472103609,-0.0346299440192268
25,"long_v3_CCD0.0.25",1.98288874779799,-0.00856466426213272,-0.0149054869882695,-0.126535432726024,-0.0754650158886217,0.0231767285950128,0.0531114556658398,0.00269886345858054
26,"long_v3_CCD0.0.25",1.87953210771219,0.00202804602760888,0.0419709157509904,-0.0900210074762107,-0.0251253182014033,-0.00562300283483451,0.000850344218779669,0.0617368621791124
27,"long_v3_CCD0.0.25",1.91353246614084,0.0976562951764514,-0.00050836069383268,-0.0946299019579229,-0.0198295852421682,-0.0115601311533375,0.0704990401310465,0.0250542657686754
28,"long_v3_CCD0.0.25",1.95863534703271,0.0843523771496254,0.015848144461002,-0.0788653068512558,-0.00943679352482749,-0.0132134238414908,0.0976376116254376,0.0143912685573498
29,"long_v3_CCD0.0.25",1.95261126621501,0.0897648849643986,0.0170258960284831,-0.0839445453332138,0.00205683551528955,-0.00431159393717655,0.104342464029357,0.00450152662548141
30,"long_v3_CCD0.0.25",1.93087919583208,-0.0319357289046344,0.0152370216102451,-0.0988954547563408,-0.0449025146348291,0.0095837320141041,0.0330363705403175,-0.0244158905080912
31,"long_v3_CCD0.0.25",1.93479997350104,-0.0416963521863401,0.010811397803792,-0.0755750103864985,-0.086815917459803,0.0487308209840857,0.0472934111432921,-0.00642872412083197
32,"long_v3_CCD0.0.25",1.89226334140865,-0.0555886979457283,-0.028137800607922,-0.100786763722359,-0.0512551598750565,-0.0177998347966485,0.0716232779166628,-0.00226161716655078
33,"long_v3_CCD0.0.25",2.0641137271897,0.0182046873617438,0.0263969566524287,-0.13568659824728,-0.0576472435687091,0.0357023454245851,0.0924481453023301,0.0460073204922816
34,"long_v3_CCD0.0.25",2.2756821049267,0.0401711754071847,0.0178693464079593,-0.176043865023465,-0.0477864639195533,0.0835859547554277,0.219186639437926,0.00874164741595632
35,"long_v3_CCD0.0.25",1.80348507923901,0.0157416153039406,0.0227054248803029,-0.0886874527947702,-0.0456430171941106,-0.0350374301354415,0.00484582410372022,0.0642642363395661
36,"long_v3_CCD0.0.25",2.09201529359261,0.0356352485717282,-0.027911372981628,-0.141572409762889,0.0199988436185483,0.0204243636713594,0.0613497180316387,0.0153763404673188
37,"long_v3_CCD0.0.25",1.95257938636582,-0.0277023747471414,0.0275017634759744,-0.0937636755387871,-0.0569052685344582,0.0192289361627759,0.0862629800286266,-0.0260845444621532
38,"long_v3_CCD0.0.25",1.9557285947933,0.00318628561830791,-0.0604625664578723,-0.123423202538924,-0.0189309666795844,-0.0804918281833059,0.0725319533258116,0.167724300679378
39,"long_v3_CCD0.0.25",1.97782435929915,0.0250821138335657,0.0677534042114048,-0.0958779497072679,-0.0226426723328998,0.0927369273933898,0.0407497498982704,-0.0670880618524007
40,"long_v3_CCD0.0.25",1.97590663848005,0.0129625353769979,0.0595881979828281,-0.122687425362364,-0.061055415125138,0.0721682366674413,0.0591787493531977,0.00590680848354294
41,"long_v3_CCD0.0.25",2.03193223371268,-0.0215667484133445,-0.00702817658576293,-0.0967940422619108,-0.013452608053367,0.0248613745761973,0.0499875682932667,0.00111327099418154
42,"long_v3_CCD0.0.25",2.05599242179403,0.0458806735223893,-0.0227503012595422,-0.150607787603376,-0.0338791619736341,0.0584720815115803,0.0816814392922164,-0.0317758523376656
43,"long_v3_CCD0.0.25",1.94768274677998,0.0240095955445649,0.0716503393196962,0.0241098935162954,0.0188133419978262,0.0441605212255342,0.0870383802176828,0.0686221777634275
44,"long_v3_CCD0.0.25",2.00548760217495,0.0648875208342243,0.0257154087860296,-0.071514916093597,-0.019447562942011,0.028059089161536,0.0680224379951066,0.10213692460318
45,"long_v3_CCD0.0.25",2.10494551112564,0.0314977297478651,0.0502479338835211,-0.155973794336096,-0.0839435443422325,-0.00971068153302312,0.0936374887544199,0.0628193259643957
