"sample_id","tree","Intercept","longitude_norm","latitude_norm","log_n_speakers_norm","n_segments_norm","delta_norm"
1,"long_v3_CCD0.0.25",2.07325969714145,-0.175885358629618,-0.0218935918770271,0.0523963749632927,0.0318565157481093,-0.130082219857838
2,"long_v3_CCD0.0.25",1.92440235060267,-0.166826883955648,-0.00237841880694773,0.039124952998478,0.0540032858599379,-0.130891815311865
3,"long_v3_CCD0.0.25",1.80882057119147,-0.104059839037175,-0.0147428810245194,0.0181339139634353,0.0190857531169651,-0.107877158527806
4,"long_v3_CCD0.0.25",1.93814701973691,-0.111136447625874,0.0297469272483168,0.104680661918294,-0.00265059732338301,-0.0803053241625953
5,"long_v3_CCD0.0.25",1.9505864284655,-0.137319752325337,-0.0681004262383137,0.0436490476378792,0.0122560670438566,-0.10792248117205
6,"long_v3_CCD0.0.25",1.83459606767454,-0.113838239510226,-0.0793955784226012,0.0616394393141426,-0.0835272906641904,-0.0432886205518733
7,"long_v3_CCD0.0.25",1.93965561632145,-0.0584965252096312,0.121382423920847,-0.00574827886804226,0.0288044958932069,-0.11105264463164
8,"long_v3_CCD0.0.25",1.81996154809126,-0.0894314098886727,0.0448253781442331,0.00149112810089267,0.0450076045219098,-0.0795170525822052
9,"long_v3_CCD0.0.25",1.77216354374177,-0.244218665171832,-0.100498946467925,-0.0349172260112624,-0.0199842914431056,-0.135989732044608
10,"long_v3_CCD0.0.25",2.03758927206078,-0.193740760542517,-0.0311964171122421,-0.00388102255240471,0.0173747041198743,-0.0992206432397347
11,"long_v3_CCD0.0.25",1.94784771954889,-0.199096394121136,-0.148771641294644,-0.0140358216980549,0.0798214165428878,-0.0775344851029717
12,"long_v3_CCD0.0.25",2.00977306694602,-0.12008217293568,-0.00233999501295045,0.0158262693512365,-0.00799648677398342,-0.105196717256453
13,"long_v3_CCD0.0.25",2.01575154177976,-0.111661122047634,0.00994104588140394,0.0270614988486387,-0.0354932439004032,-0.120453300506385
14,"long_v3_CCD0.0.25",2.09570254212942,-0.151700653243918,-0.00306651514862529,0.0225360416014106,-0.0268341540216166,-0.0734118554998522
15,"long_v3_CCD0.0.25",2.01718635800694,-0.221584250431363,-0.111919136301404,0.0319491417762725,0.008090030014775,-0.0918416244556932
16,"long_v3_CCD0.0.25",1.95600491970855,-0.11264795191509,0.027383568168462,-0.0396347986574952,0.0378594560384468,-0.0828938343191665
17,"long_v3_CCD0.0.25",2.02566461710641,-0.193132355865089,-0.143592358249853,-0.0387287628272611,-0.0060546458869897,-0.132284253518878
18,"long_v3_CCD0.0.25",2.03711938185854,-0.0881054868074928,-0.0410348435643317,0.00819647117554,0.011271257939137,-0.0732792159713546
19,"long_v3_CCD0.0.25",1.90841816406567,-0.168104957356817,-0.0178617177333238,-0.0477319441394267,0.00184783847881871,-0.084129943669282
20,"long_v3_CCD0.0.25",1.9762218037231,-0.125909353613351,0.0028862261668256,0.000930428907875477,0.0491462240239339,-0.0616088410393654
21,"long_v3_CCD0.0.25",1.90755768579292,-0.157606015239697,0.00908173234139219,0.0334118304240681,0.00718707426432613,-0.176853269562185
22,"long_v3_CCD0.0.25",1.97932547518289,-0.179037386755564,-0.0245716397319332,-0.0424914293507616,0.0343730933705294,-0.096720413387011
23,"long_v3_CCD0.0.25",1.97166947499835,-0.149585370276059,-0.00918676284903639,0.0169795700791677,0.015166670623928,-0.054017640839121
24,"long_v3_CCD0.0.25",1.93223023551023,-0.186824973461621,-0.0386362377728228,-0.00913145538677171,-0.0135799000036804,-0.0419017233938049
25,"long_v3_CCD0.0.25",1.96246478880965,-0.163572309117584,-0.0164113102849603,0.0354569232079705,0.0447620068952973,-0.0729050754160031
26,"long_v3_CCD0.0.25",1.84563845040787,-0.197609141698238,-0.169285387210711,-0.0307273477382704,-0.00919480715506412,-0.0825531039734721
27,"long_v3_CCD0.0.25",1.90275481470045,-0.282113706130994,-0.0560977312141761,-0.0134752268566634,0.0228225587482649,-0.141907661605591
28,"long_v3_CCD0.0.25",1.99620353178376,-0.0341585180126511,0.0416670626123463,-0.0275154912448752,-0.0062256716002588,-0.0693317831315121
29,"long_v3_CCD0.0.25",1.95386094444418,-0.0488809297172773,0.146293542464728,-0.0203792099822255,0.0542265981669921,-0.101603149693639
30,"long_v3_CCD0.0.25",1.95597374096743,-0.161689078903969,0.00603032190888128,0.0133688845232499,-0.00783921171001525,-0.113411917972849
31,"long_v3_CCD0.0.25",2.01331927715673,-0.162168913231418,-0.0142506149242259,0.0297977129704288,0.0298710738585419,-0.0906946606908539
32,"long_v3_CCD0.0.25",2.04693961560275,-0.276071208571182,-0.0545131684735181,0.0311550667872715,-0.00123490941246703,-0.127021827033335
33,"long_v3_CCD0.0.25",1.81279574921202,-0.11219346254624,-0.0668268874924764,0.00250680490526412,-0.00644216646997319,-0.0918890767665258
34,"long_v3_CCD0.0.25",2.12500636812294,-0.0563993075522343,0.0948097130279426,0.00275162148687375,-0.0228964515766767,-0.0962096449608993
35,"long_v3_CCD0.0.25",2.07140870720906,-0.12739073374053,0.00999610078988577,-0.0331485762317288,0.0296995779698814,-0.0382113173926433
36,"long_v3_CCD0.0.25",1.8778195767081,-0.0909316715252741,-0.0531748768929918,8.30110825847021e-05,-0.0530629025710748,-0.102418511090562
37,"long_v3_CCD0.0.25",1.94138241314664,-0.0335791501435955,0.0735462382673954,0.0301848831715026,-0.000537007063503426,-0.060356783638559
38,"long_v3_CCD0.0.25",1.96842637666656,-0.160675503654517,-0.00486606894688852,0.0125290965897097,0.00525833952283908,-0.0973478170640602
39,"long_v3_CCD0.0.25",1.85055386839494,-0.127512954949876,0.011151834911897,-0.0218650631712362,-0.0338503236565408,-0.140285098839125
40,"long_v3_CCD0.0.25",1.99632654799942,-0.0345158948230058,0.0828917408405305,0.0261971280582597,0.0452137500598228,-0.109607889473079
41,"long_v3_CCD0.0.25",1.85153108453984,-0.183437391844014,-0.0622295504288764,-0.0193226911319327,0.0124991945951605,-0.0333094243695087
42,"long_v3_CCD0.0.25",1.83315666346049,-0.216870985872394,0.0169769835604174,0.0246114751341007,0.0262908834565162,-0.106884926265236
43,"long_v3_CCD0.0.25",1.866957733994,-0.127248369451122,-0.042155085309511,0.0089579220915706,-0.00107841917533981,-0.0541891697861402
44,"long_v3_CCD0.0.25",1.81779050497616,-0.138212384889848,0.00777114464850496,0.0707220182202681,-0.0269337140355476,-0.0150209314115015
45,"long_v3_CCD0.0.25",2.01739531844729,-0.0641407657249403,0.0730476797632836,0.00223030491481892,0.00649754525939967,-0.0952330346727564
46,"long_v3_CCD0.0.25",1.81698169473398,-0.0379653882533136,0.0811733943471488,-0.0342148958018227,-0.0117095274199685,-0.0824510488193494
47,"long_v3_CCD0.0.25",1.97507066963174,-0.0802504227760668,0.0480800451718904,0.0298875364614856,0.00640419108741601,-0.110909673608804
48,"long_v3_CCD0.0.25",1.90265420623353,-0.107151283904187,-0.12307751651826,-0.0456712000955896,-0.0102428153184193,-0.0809654866063919
49,"long_v3_CCD0.0.25",1.818930055934,-0.0466949860243357,-0.0143599902093805,-0.0137444630260038,-0.0202671228269933,-0.0282491061002257
50,"long_v3_CCD0.0.25",1.87894468261535,-0.275578766180495,-0.15017054387735,0.0382296946751904,0.0438848119963666,-0.141118828753188
51,"long_v3_CCD0.0.25",2.15141140127845,-0.128288319367405,-0.0889147378476109,0.00416735313177515,0.0325210067594283,-0.126611605627834
52,"long_v3_CCD0.0.25",1.8404598406403,-0.144123923082004,0.0116559486894816,-0.0220307456536112,0.0115551114680131,-0.0623507704814726
53,"long_v3_CCD0.0.25",1.90463795140428,-0.182617224245161,-0.0203223983757308,-0.0105106277539875,0.0308885748023497,-0.0869268665776218
54,"long_v3_CCD0.0.25",1.93912262733112,-0.129950493289944,-0.0675108569034516,-0.0132404066005354,-0.0200480593405581,-0.091503466039797
55,"long_v3_CCD0.0.25",1.99235924189874,-0.0924989699333251,0.0527489584370502,0.0150092566591004,0.0656545094395654,-0.0927551246537513
56,"long_v3_CCD0.0.25",1.88962463144733,-0.056592826685412,0.0734604210725622,-0.00574120598931177,0.0703147455513763,-0.0556412723274513
57,"long_v3_CCD0.0.25",1.85244878544642,-0.268643861729605,-0.0989713087629334,-0.0432721169415351,0.0443791077989219,-0.117380757803124
58,"long_v3_CCD0.0.25",1.8830824235194,-0.0443212828502349,0.107964319851517,-0.0117281132953896,0.0200355930688977,-0.120774515560948
59,"long_v3_CCD0.0.25",1.96087673406703,-0.175209235749542,0.0417485645966783,0.0233352866506754,-0.0132876613933685,-0.150089470093861
60,"long_v3_CCD0.0.25",1.81794108461996,-0.12442151297723,0.0178621446653957,0.0545677409696846,-0.0520386126029428,-0.127668399167845
61,"long_v3_CCD0.0.25",1.94893977911399,-0.0729323330676129,0.083527237592289,-0.00143019553655959,-0.00898341031529066,-0.13864858920637
62,"long_v3_CCD0.0.25",1.90259375573781,-0.0358813946299656,0.019608247155478,0.0105079994831278,0.0595093481346434,-0.15160934578166
63,"long_v3_CCD0.0.25",1.90991141033396,-0.0644024922867003,-0.000713489121582049,0.0475355343776892,0.00718574874958347,-0.0957603811269415
