"sample_id","tree","R2_full","partial_R2_phylo","prop_residual","prop_phylo_norm","prop_residual_norm","shapley_longitude_norm","shapley_norm_longitude_norm","shapley_latitude_norm","shapley_norm_latitude_norm","shapley_log_n_speakers_norm","shapley_norm_log_n_speakers_norm","shapley_n_segments_norm","shapley_norm_n_segments_norm","shapley_delta_norm","shapley_norm_delta_norm"
1,"heggarty2024",0.236655456098222,0.498387073802895,0.763344543901778,0.312087752082693,0.478002932445858,0.028116345809203,0.0176063297416981,0.0195340671908718,0.0122321453325703,0.00434088343874706,0.0027182417555784,0.0117565094952071,0.00736187355884171,0.271465892148119,0.16999072508276
2,"heggarty2024",0.344308766057163,0.626346013803835,0.655691233942837,0.424226549964946,0.44410217976568,0.0144502677132333,0.00978722157234757,0.0556947356502226,0.0377222574030836,0.0690048901912923,0.0467372759647355,0.00183242734451058,0.00124111004666921,0.0534227093199116,0.0361834052825379
3,"heggarty2024",0.253671787639381,0.168954596572004,0.746328212360619,0.135835406465114,0.600029819485746,0.166387959858171,0.133771892667055,0.0275441062111945,0.0221447947485783,0.0221312497926896,0.0177929891945248,0.0230562958620144,0.0185367038455325,0.0894161165624377,0.0718883935934497
4,"heggarty2024",0.185088716866534,0.0148279946572525,0.814911283133466,0.0147159158757084,0.808751700142554,0.0462815341414227,0.0459317108460639,0.0142939154942529,0.0141858735999091,0.0153259614116025,0.0152101187018694,0.0210728701185797,0.0209135888630141,0.0809026018376772,0.0802910919708808
5,"heggarty2024",0.279667037502948,2.90532285857166,0.720332962497052,0.649110627794517,0.160937632156111,0.257947254142816,0.0576308769197622,0.088658104637852,0.0198080973309936,0.0163516205098203,0.00365329816039974,0.0414119795303756,0.00925231285461722,0.445826845653941,0.0996071547836
6,"heggarty2024",0.154831254482727,1.53772880075404,0.845168745517273,0.569188941183444,0.312838455744877,0.0263217633333258,0.00974297717154696,0.140445505759249,0.0519857784271719,0.0247263671738401,0.00915244270907185,0.0365257951939128,0.0135199904444216,0.0906970022533388,0.0335714143194665
7,"heggarty2024",0.0715145104295056,-0.0318967948034199,0.928485489570494,0,0.711774304400289,0.0812490716931426,0.0622853045493557,0.0904274925819455,0.0693214555899527,0.106715665146158,0.0818079218051732,0.0739750530751182,0.0567090628092353,0.02361338220489,0.018101950845994
8,"heggarty2024",0.175307436012958,0.0234519247094849,0.824692563987042,0.0181714740201833,0.63900424748797,0.155243681236683,0.120288912544952,0.0523766360761172,0.0405834784782859,0.0350381592364553,0.0271489444114917,0.0759295960234311,0.0588332385761399,0.123857551752794,0.095969704480978
9,"heggarty2024",0.157088719248121,-0.0201536964186963,0.842911280751879,0,0.78655631660966,0.0608109449689708,0.0567452755427366,0.013660886250623,0.012747553172297,0.00956227131308591,0.00892296149570341,0.0132772844494126,0.0123895980390644,0.131425048967522,0.122638295140539
10,"heggarty2024",0.46679830579915,0.76925425559346,0.53320169420085,0.555296815540755,0.384899011838739,0.0517628493506954,0.0373657281695269,0.0157654728424937,0.011380524451148,0.000664634722533726,0.000479775759753274,0.0133269438798981,0.0096202386188797,0.00132698937746627,0.00095790562119796
11,"heggarty2024",-0.132010379085418,-0.0149103097222178,1.13201037908542,0,0.747859596706969,0.024047038882955,0.0158866112301312,0.138378400776532,0.0914193163858645,0.144701540057528,0.0955966812581095,0.036440706536653,0.0240744542609551,0.0380889171666823,0.0251633401579711
12,"heggarty2024",0.228592672065959,0.0380480140762304,0.771407327934041,0.0382141219414213,0.774775094361455,0.0545223888026503,0.0547604195600762,0.0625826334464612,0.0628558531635005,0.0216526503838072,0.0217471802986609,0.0195124622408735,0.0195976486435318,0.0279277566130843,0.0280496820313538
13,"heggarty2024",0.0986781755580127,0.0604717236020955,0.901321824441987,0.0551407361997421,0.82186426964856,0.0153874412849001,0.0140309352890728,0.010014014371738,0.00913121194305262,0.00476376276779703,0.00434380517786575,0.0120126140579644,0.0109536216827227,0.0927082753823989,0.0845354200589836
14,"heggarty2024",0.0207134032618373,0.00594692731739492,0.979286596738163,0.00436101423174594,0.718132668755058,0.117055421422494,0.0858393471925147,0.154990594283352,0.113658054215559,0.0884352364993462,0.0648515282561768,0.0128905242498528,0.00945290848668043,0.00505163830522566,0.00370447886226605
15,"heggarty2024",0.262421521548937,0.143579998405901,0.737578478451063,0.149946757364686,0.770284875147139,0.00670921887684224,0.00700672535312613,0.0143380646661625,0.0149738565778386,0.00337270537805109,0.00352226104332101,0.00665873611068618,0.00695400403280335,0.045302667124264,0.0473115204810865
16,"heggarty2024",0.1756780009594,0.0942227814277751,0.8243219990406,0.0716241585085158,0.626614589663729,0.0801155296437634,0.0609004245814706,0.0285849832649764,0.0217290907921597,0.0761620810644307,0.0578951808027307,0.0261268405231714,0.0198605150325855,0.185982551861555,0.141376040618809
