"sample_id","tree","Intercept","log_n_speakers_norm","n_segments_norm","delta_norm"
1,"heggarty2024",-5.99492256613348,0.0095169516369601,0.0492791317359904,-0.0306373634278201
2,"heggarty2024",-6.04920396462894,-0.206395427092421,0.00777393591628224,-0.0164839106199797
3,"heggarty2024",-6.19075236886687,0.0372517540153109,-0.156525259223359,-0.0130703382044845
4,"heggarty2024",-6.67642019533915,-0.124846923024416,-0.0847413627521335,-0.093745643339651
5,"heggarty2024",-5.75067204899393,-0.0535996750614865,0.00192784090818401,-0.0347520275926166
6,"heggarty2024",-6.69544812967718,-0.0742962784611991,-0.132648492669392,-0.159841639201113
7,"heggarty2024",-6.42038552766824,-0.139241343356677,0.0196122341805578,0.0129049344714389
8,"heggarty2024",-5.68400386796026,-0.025950290309596,-0.0344240939873171,-0.0822700117256241
9,"heggarty2024",-5.61750880949429,-0.0590031422520502,-0.0464840292935336,-0.152954537297852
10,"heggarty2024",-5.97027818141731,0.0145080380431716,-0.122227492903082,-0.0342389099393705
11,"heggarty2024",-6.11313910863876,-0.06631080963484,-0.14919181541658,-0.17421102514751
12,"heggarty2024",-6.08337499218183,-0.0129528957319464,-0.0967071062810359,-0.118030870744055
13,"heggarty2024",-5.99481304822183,0.0366896218617265,-0.024545058236107,-0.064379000802396
14,"heggarty2024",-5.76119013718392,0.0418010279777018,-0.0674898418425657,0.0504889710746401
15,"heggarty2024",-5.8862207627165,-0.0405401017557336,0.0464489151738051,-0.094008843234432
16,"heggarty2024",-5.96334773383305,-0.0575595378785049,-0.0446007478484783,-0.14923094024028
17,"heggarty2024",-5.68802074687013,-0.0091676644945081,-0.0373461481780333,-0.171364014550727
18,"heggarty2024",-6.55969912900043,-0.103668631890465,-0.134224614296028,-0.0504286696608253
19,"heggarty2024",-5.76137006855341,-0.0238192086123295,-0.0551007840048416,-0.120973169627184
20,"heggarty2024",-5.89781726072535,0.10529094158816,0.0364836134063595,0.13445284964288
21,"heggarty2024",-5.99346007712064,-0.0486055458846629,0.0757524652115308,-0.243050628754331
22,"heggarty2024",-5.80650191861721,0.143815839238461,-0.197662084665954,0.0208745495466088
