"longitude_norm","latitude_norm","spline_mean","spline_lower","spline_upper","spline_prob_positive","longitude","latitude"
-3,-3,-0.947199151639193,-5.88224833405498,5.21756356802966,0.32,-54.5342215702102,8.9683272991884
-2.96984924623116,-3,-0.938610361513622,-5.82758837154798,5.16722690197828,0.32,-53.659512602447,8.9683272991884
-2.93969849246231,-3,-0.930021571388052,-5.77591445886642,5.12918659866335,0.3205,-52.7848036346839,8.9683272991884
-2.90954773869347,-3,-0.921432781262479,-5.72687411996197,5.0793389317513,0.32075,-51.9100946669207,8.9683272991884
-2.87939698492462,-3,-0.912843991136907,-5.67562892889763,5.02962633065104,0.32075,-51.0353856991576,8.9683272991884
-2.84924623115578,-3,-0.904255201011336,-5.61956436397928,4.98003027683158,0.321125,-50.1606767313945,8.9683272991884
-2.81909547738693,-3,-0.895666410885765,-5.56680004665153,4.94044536032161,0.322,-49.2859677636313,8.9683272991884
-2.78894472361809,-3,-0.887077620760193,-5.52092977348741,4.89295890955053,0.321875,-48.4112587958682,8.9683272991884
-2.75879396984925,-3,-0.878488830634622,-5.46957247429246,4.84106158636861,0.321875,-47.536549828105,8.9683272991884
-2.7286432160804,-3,-0.869900040509051,-5.42484522234734,4.78870118686523,0.321875,-46.6618408603419,8.9683272991884
-2.69849246231156,-3,-0.861311250383478,-5.37824824086929,4.73720141492836,0.321625,-45.7871318925788,8.9683272991884
-2.66834170854271,-3,-0.852722460257907,-5.33056017804307,4.67970005122894,0.321625,-44.9124229248156,8.9683272991884
-2.63819095477387,-3,-0.844133670132336,-5.28316324545735,4.63127024026938,0.32225,-44.0377139570525,8.9683272991884
-2.60804020100502,-3,-0.835544880006764,-5.23103070634819,4.58141053282894,0.321875,-43.1630049892893,8.9683272991884
-2.57788944723618,-3,-0.826956089881192,-5.17318356790833,4.53440586965827,0.32175,-42.2882960215262,8.9683272991884
-2.54773869346734,-3,-0.818367299755622,-5.11494713761328,4.49164053143569,0.321625,-41.4135870537631,8.9683272991884
-2.51758793969849,-3,-0.80977850963005,-5.06012217728516,4.4537371762493,0.321875,-40.5388780859999,8.9683272991884
-2.48743718592965,-3,-0.801189719504479,-5.01870123908242,4.41005515076915,0.321625,-39.6641691182368,8.9683272991884
-2.4572864321608,-3,-0.792600929378907,-4.97699191801091,4.36647619095652,0.321625,-38.7894601504736,8.9683272991884
-2.42713567839196,-3,-0.784012139253336,-4.91911463580007,4.31663052691192,0.321875,-37.9147511827105,8.9683272991884
-2.39698492462312,-3,-0.775423349127764,-4.86431161295653,4.27141674801999,0.3225,-37.0400422149474,8.9683272991884
-2.36683417085427,-3,-0.766834559002192,-4.82673573480876,4.22758083608932,0.3235,-36.1653332471842,8.9683272991884
-2.33668341708543,-3,-0.758245768876622,-4.78299815710134,4.17965309295267,0.323625,-35.2906242794211,8.9683272991884
-2.30653266331658,-3,-0.74965697875105,-4.73377349030146,4.13172030452585,0.32375,-34.415915311658,8.9683272991884
-2.27638190954774,-3,-0.741068188625478,-4.68567616303634,4.08378751609903,0.323375,-33.5412063438948,8.9683272991884
-2.24623115577889,-3,-0.732479398499907,-4.634604810171,4.03556189613974,0.32325,-32.6664973761317,8.9683272991884
-2.21608040201005,-3,-0.723890608374336,-4.58209154736264,3.98736499921844,0.324125,-31.7917884083685,8.9683272991884
-2.18592964824121,-3,-0.715301818248764,-4.53816993372044,3.93951710680354,0.32475,-30.9170794406054,8.9683272991884
-2.15577889447236,-3,-0.706713028123192,-4.47910186964151,3.91426475944695,0.325125,-30.0423704728423,8.9683272991884
-2.12562814070352,-3,-0.698124237997622,-4.42733309614162,3.87458699147246,0.32475,-29.1676615050791,8.9683272991884
-2.09547738693467,-3,-0.689535447872049,-4.37748061514006,3.83426753573401,0.3255,-28.292952537316,8.9683272991884
-2.06532663316583,-3,-0.680946657746478,-4.33163123589223,3.78867511689344,0.325,-27.4182435695528,8.9683272991884
-2.03517587939699,-3,-0.672357867620907,-4.27596953488911,3.74709494025087,0.325375,-26.5435346017897,8.9683272991884
-2.00502512562814,-3,-0.663769077495335,-4.2203374824218,3.69532875735228,0.325625,-25.6688256340266,8.9683272991884
-1.9748743718593,-3,-0.655180287369763,-4.17293954626026,3.65246050782947,0.32575,-24.7941166662634,8.9683272991884
-1.94472361809045,-3,-0.646591497244192,-4.12749517391688,3.61415576780274,0.3265,-23.9194076985003,8.9683272991884
-1.91457286432161,-3,-0.638002707118621,-4.08221575894193,3.56050156266927,0.32625,-23.0446987307371,8.9683272991884
-1.88442211055276,-3,-0.629413916993049,-4.0366741591484,3.50744069581569,0.326625,-22.169989762974,8.9683272991884
-1.85427135678392,-3,-0.620825126867478,-3.99142131463673,3.46071295609789,0.326625,-21.2952807952109,8.9683272991884
-1.82412060301508,-3,-0.612236336741907,-3.94669397410161,3.41279814011487,0.32725,-20.4205718274477,8.9683272991884
-1.79396984924623,-3,-0.603647546616335,-3.90269977488912,3.36577355971991,0.327,-19.5458628596846,8.9683272991884
-1.76381909547739,-3,-0.595058756490763,-3.85518138751975,3.3229862148815,0.32725,-18.6711538919214,8.9683272991884
-1.73366834170854,-3,-0.586469966365192,-3.81416389264798,3.28289539625588,0.327,-17.7964449241583,8.9683272991884
-1.7035175879397,-3,-0.577881176239621,-3.76440077860509,3.22521344802152,0.327625,-16.9217359563952,8.9683272991884
-1.67336683417085,-3,-0.569292386114049,-3.71911057223951,3.18022156633957,0.327625,-16.047026988632,8.9683272991884
-1.64321608040201,-3,-0.560703595988477,-3.67115569855563,3.13501820366399,0.32775,-15.1723180208689,8.9683272991884
