,ArmenianEastern,Assamese,Belarusian,Bengali,Bulgarian,Catalan,Czech,Danish,Dutch,English,French,German,Greek,Hindi,Italian,KurdishCJafi,Latvian,Lithuanian,Macedonian,Marathi,Nepali,NorwegianBokmal,Pashto,PersianTehran,Polish,Portuguese,Punjabi,Romanian,Russian,SerboCroatian,Slovak,Slovene,Spanish,Swedish,Ukrainian,Urdu
ArmenianEastern,4.56073084704266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assamese,0,4.56073084704266,0.386971882345081,2.09474831767343,0.386971882345081,0.502639097661629,0.386971882345081,0.679417258320648,0.679417258320648,0.679417258320648,0.502639097661629,0.679417258320648,0,1.25192238412343,0.502639097661629,0.851025287500188,0.386971882345081,0.386971882345081,0.386971882345081,1.25192238412343,1.25192238412343,0.679417258320648,1.01932188484233,0.851025287500188,0.386971882345081,0.502639097661629,1.25192238412343,0.502639097661629,0.386971882345081,0.386971882345081,0.386971882345081,0.386971882345081,0.502639097661629,0.679417258320648,0.386971882345081,1.25192238412343
Belarusian,0,0.386971882345081,4.56073084704266,0.386971882345081,1.59880809952251,0.386971882345081,1.88191380268406,0.386971882345081,0.386971882345081,0.386971882345081,0.386971882345081,0.386971882345081,0,0.386971882345081,0.386971882345081,0.386971882345081,0.883613682305082,0.883613682305082,1.59880809952251,0.386971882345081,0.386971882345081,0.386971882345081,0.386971882345081,0.386971882345081,1.88191380268406,0.386971882345081,0.386971882345081,0.386971882345081,2.86680136784782,1.59880809952251,1.88191380268406,1.59880809952251,0.386971882345081,0.386971882345081,2.59459356537808,0.386971882345081
Bengali,0,2.09474831767343,0.386971882345081,4.56073084704266,0.386971882345081,0.502639097661629,0.386971882345081,0.679417258320648,0.679417258320648,0.679417258320648,0.502639097661629,0.679417258320648,0,1.25192238412343,0.502639097661629,0.851025287500188,0.386971882345081,0.386971882345081,0.386971882345081,1.25192238412343,1.25192238412343,0.679417258320648,1.01932188484233,0.851025287500188,0.386971882345081,0.502639097661629,1.25192238412343,0.502639097661629,0.386971882345081,0.386971882345081,0.386971882345081,0.386971882345081,0.502639097661629,0.679417258320648,0.386971882345081,1.25192238412343
Bulgarian,0,0.386971882345081,1.59880809952251,0.386971882345081,4.56073084704266,0.386971882345081,1.59880809952251,0.386971882345081,0.386971882345081,0.386971882345081,0.386971882345081,0.386971882345081,0,0.386971882345081,0.386971882345081,0.386971882345081,0.883613682305082,0.883613682305082,2.8042808488315,0.386971882345081,0.386971882345081,0.386971882345081,0.386971882345081,0.386971882345081,1.59880809952251,0.386971882345081,0.386971882345081,0.386971882345081,1.59880809952251,1.97262861760067,1.59880809952251,1.91983268838628,0.386971882345081,0.386971882345081,1.59880809952251,0.386971882345081
Catalan,0,0.502639097661629,0.386971882345081,0.502639097661629,0.386971882345081,4.56073084704266,0.386971882345081,0.502639097661629,0.502639097661629,0.502639097661629,3.02279201800916,0.502639097661629,0,0.502639097661629,3.3097863287472,0.502639097661629,0.386971882345081,0.386971882345081,0.386971882345081,0.502639097661629,0.502639097661629,0.502639097661629,0.502639097661629,0.502639097661629,0.386971882345081,3.39312587942216,0.502639097661629,3.09877609859692,0.386971882345081,0.386971882345081,0.386971882345081,0.386971882345081,3.73513912108181,0.502639097661629,0.386971882345081,0.502639097661629
Czech,0,0.386971882345081,1.88191380268406,0.386971882345081,1.59880809952251,0.386971882345081,4.56073084704266,0.386971882345081,0.386971882345081,0.386971882345081,0.386971882345081,0.386971882345081,0,0.386971882345081,0.386971882345081,0.386971882345081,0.883613682305082,0.883613682305082,1.59880809952251,0.386971882345081,0.386971882345081,0.386971882345081,0.386971882345081,0.386971882345081,2.31954143047575,0.386971882345081,0.386971882345081,0.386971882345081,1.88191380268406,1.59880809952251,3.10544103979162,1.59880809952251,0.386971882345081,0.386971882345081,1.88191380268406,0.386971882345081
Danish,0,0.679417258320648,0.386971882345081,0.679417258320648,0.386971882345081,0.502639097661629,0.386971882345081,4.56073084704266,2.06670953264798,1.87009124866505,0.502639097661629,2.06670953264798,0,0.679417258320648,0.502639097661629,0.679417258320648,0.386971882345081,0.386971882345081,0.386971882345081,0.679417258320648,0.679417258320648,2.54661751397235,0.679417258320648,0.679417258320648,0.386971882345081,0.502639097661629,0.679417258320648,0.502639097661629,0.386971882345081,0.386971882345081,0.386971882345081,0.386971882345081,0.502639097661629,2.54661751397235,0.386971882345081,0.679417258320648
Dutch,0,0.679417258320648,0.386971882345081,0.679417258320648,0.386971882345081,0.502639097661629,0.386971882345081,2.06670953264798,4.56073084704266,1.87009124866505,0.502639097661629,2.57223869208154,0,0.679417258320648,0.502639097661629,0.679417258320648,0.386971882345081,0.386971882345081,0.386971882345081,0.679417258320648,0.679417258320648,2.06670953264798,0.679417258320648,0.679417258320648,0.386971882345081,0.502639097661629,0.679417258320648,0.502639097661629,0.386971882345081,0.386971882345081,0.386971882345081,0.386971882345081,0.502639097661629,2.06670953264798,0.386971882345081,0.679417258320648
English,0,0.679417258320648,0.386971882345081,0.679417258320648,0.386971882345081,0.502639097661629,0.386971882345081,1.87009124866505,1.87009124866505,4.56073084704266,0.502639097661629,1.87009124866505,0,0.679417258320648,0.502639097661629,0.679417258320648,0.386971882345081,0.386971882345081,0.386971882345081,0.679417258320648,0.679417258320648,1.87009124866505,0.679417258320648,0.679417258320648,0.386971882345081,0.502639097661629,0.679417258320648,0.502639097661629,0.386971882345081,0.386971882345081,0.386971882345081,0.386971882345081,0.502639097661629,1.87009124866505,0.386971882345081,0.679417258320648
