"longitude_norm","latitude_norm","spline_mean","spline_lower","spline_upper","spline_prob_positive","longitude","latitude"
-3,-3,-1.33207299964278,-6.55279505112607,4.92339637839038,0.282625,-54.5342215702102,8.9683272991884
-2.96984924623116,-3,-1.3207819295036,-6.50859263765518,4.89685555800685,0.282625,-53.659512602447,8.9683272991884
-2.93969849246231,-3,-1.30949085936443,-6.45641123575223,4.85040332860556,0.28275,-52.7848036346839,8.9683272991884
-2.90954773869347,-3,-1.29819978922525,-6.40374989291693,4.79731053268814,0.28275,-51.9100946669207,8.9683272991884
-2.87939698492462,-3,-1.28690871908607,-6.3513419135813,4.75453750483817,0.282875,-51.0353856991576,8.9683272991884
-2.84924623115578,-3,-1.27561764894689,-6.29794718981532,4.71176447698821,0.282875,-50.1606767313945,8.9683272991884
-2.81909547738693,-3,-1.26432657880772,-6.23859275035694,4.66082657649291,0.283125,-49.2859677636313,8.9683272991884
-2.78894472361809,-3,-1.25303550866854,-6.18332828753298,4.62731536835687,0.2835,-48.4112587958682,8.9683272991884
-2.75879396984925,-3,-1.24174443852936,-6.13403542812727,4.58125358292894,0.2835,-47.536549828105,8.9683272991884
-2.7286432160804,-3,-1.23045336839018,-6.07769750553525,4.52656385660963,0.283125,-46.6618408603419,8.9683272991884
-2.69849246231156,-3,-1.21916229825101,-6.03248855786151,4.47338134751059,0.283,-45.7871318925788,8.9683272991884
-2.66834170854271,-3,-1.20787122811183,-5.97757298539983,4.42938466988138,0.282875,-44.9124229248156,8.9683272991884
-2.63819095477387,-3,-1.19658015797265,-5.92055703569033,4.39902459181859,0.283,-44.0377139570525,8.9683272991884
-2.60804020100502,-3,-1.18528908783347,-5.85753837420093,4.35073208046836,0.2825,-43.1630049892893,8.9683272991884
-2.57788944723618,-3,-1.1739980176943,-5.80297901747657,4.29685226885052,0.28275,-42.2882960215262,8.9683272991884
-2.54773869346734,-3,-1.16270694755512,-5.7549785463786,4.25246119588632,0.2825,-41.4135870537631,8.9683272991884
-2.51758793969849,-3,-1.15141587741594,-5.703531859677,4.19549323334485,0.2825,-40.5388780859999,8.9683272991884
-2.48743718592965,-3,-1.14012480727676,-5.64363677301712,4.16241299647701,0.282,-39.6641691182368,8.9683272991884
-2.4572864321608,-3,-1.12883373713759,-5.59434949857527,4.12238291672054,0.28175,-38.7894601504736,8.9683272991884
-2.42713567839196,-3,-1.11754266699841,-5.54347998332107,4.0802037543541,0.281625,-37.9147511827105,8.9683272991884
-2.39698492462312,-3,-1.10625159685923,-5.48498608363259,4.04007917189404,0.282,-37.0400422149474,8.9683272991884
-2.36683417085427,-3,-1.09496052672005,-5.4393815048645,4.00416019571806,0.282625,-36.1653332471842,8.9683272991884
-2.33668341708543,-3,-1.08366945658088,-5.37826202518342,3.9610338946398,0.282375,-35.2906242794211,8.9683272991884
-2.30653266331658,-3,-1.0723783864417,-5.32730152003162,3.90042868760806,0.282875,-34.415915311658,8.9683272991884
-2.27638190954774,-3,-1.06108731630252,-5.26295939170047,3.8671019839866,0.28275,-33.5412063438948,8.9683272991884
-2.24623115577889,-3,-1.04979624616335,-5.20408232334421,3.81213901396345,0.282625,-32.6664973761317,8.9683272991884
-2.21608040201005,-3,-1.03850517602417,-5.15013467696245,3.76702797359304,0.28275,-31.7917884083685,8.9683272991884
-2.18592964824121,-3,-1.02721410588499,-5.10281509024494,3.72414937614846,0.283375,-30.9170794406054,8.9683272991884
-2.15577889447236,-3,-1.01592303574581,-5.06306447860158,3.68052408690473,0.283875,-30.0423704728423,8.9683272991884
-2.12562814070352,-3,-1.00463196560664,-5.00425903828673,3.64258422454694,0.284625,-29.1676615050791,8.9683272991884
-2.09547738693467,-3,-0.993340895467458,-4.94413654676362,3.59219137597852,0.28475,-28.292952537316,8.9683272991884
-2.06532663316583,-3,-0.98204982532828,-4.88747640999887,3.5483861121712,0.285125,-27.4182435695528,8.9683272991884
-2.03517587939699,-3,-0.970758755189103,-4.8354309220592,3.50428872324155,0.284625,-26.5435346017897,8.9683272991884
-2.00502512562814,-3,-0.959467685049926,-4.78338543411954,3.46470042679783,0.284,-25.6688256340266,8.9683272991884
-1.9748743718593,-3,-0.948176614910748,-4.73135930850439,3.41145426095709,0.284125,-24.7941166662634,8.9683272991884
-1.94472361809045,-3,-0.936885544771571,-4.67741009866228,3.35063885235937,0.2845,-23.9194076985003,8.9683272991884
-1.91457286432161,-3,-0.925594474632394,-4.62466494840104,3.30698498075185,0.283875,-23.0446987307371,8.9683272991884
-1.88442211055276,-3,-0.914303404493216,-4.57137370617438,3.27946690057798,0.2845,-22.169989762974,8.9683272991884
-1.85427135678392,-3,-0.903012334354039,-4.51190750746888,3.22897034111798,0.28475,-21.2952807952109,8.9683272991884
-1.82412060301508,-3,-0.891721264214861,-4.46767574694222,3.19492050188842,0.28525,-20.4205718274477,8.9683272991884
-1.79396984924623,-3,-0.880430194075684,-4.40830047937465,3.15145122870129,0.2855,-19.5458628596846,8.9683272991884
-1.76381909547739,-3,-0.869139123936506,-4.3569854214902,3.10745264229385,0.285875,-18.6711538919214,8.9683272991884
-1.73366834170854,-3,-0.857848053797329,-4.29679871102733,3.06334446304422,0.285875,-17.7964449241583,8.9683272991884
-1.7035175879397,-3,-0.846556983658152,-4.2386191746172,3.01923628379458,0.287,-16.9217359563952,8.9683272991884
-1.67336683417085,-3,-0.835265913518974,-4.1817105556485,2.97724659921081,0.2875,-16.047026988632,8.9683272991884
-1.64321608040201,-3,-0.823974843379797,-4.13012852569299,2.93611821983155,0.28825,-15.1723180208689,8.9683272991884
-1.61306532663317,-3,-0.81268377324062,-4.07189626672762,2.89443945112397,0.289,-14.2976090531057,8.9683272991884
-1.58291457286432,-3,-0.801392703101442,-4.031180162072,2.84257941650368,0.2895,-13.4229000853426,8.9683272991884
-1.55276381909548,-3,-0.790101632962265,-3.98040093587703,2.80498899658394,0.289875,-12.5481911175795,8.9683272991884
-1.52261306532663,-3,-0.778810562823087,-3.9255942895166,2.76644285753125,0.29075,-11.6734821498163,8.9683272991884
-1.49246231155779,-3,-0.76751949268391,-3.87103623202247,2.73036574699655,0.291125,-10.7987731820532,8.9683272991884
-1.46231155778894,-3,-0.756228422544733,-3.82508102927626,2.67573702664136,0.291625,-9.92406421429005,8.9683272991884
-1.4321608040201,-3,-0.744937352405555,-3.76448114257464,2.62703103460959,0.292875,-9.04935524652691,8.9683272991884
-1.40201005025126,-3,-0.733646282266378,-3.71866001590596,2.58252785599676,0.29375,-8.17464627876377,8.9683272991884
-1.37185929648241,-3,-0.722354624366847,-3.6645827567405,2.55336334054976,0.295,-7.29993731100063,8.9683272991884
-1.34170854271357,-3,-0.71105875066887,-3.6220732083133,2.51297522425594,0.29575,-6.42522834323749,8.9683272991884
-1.31155778894472,-3,-0.699754053037008,-3.58494984043448,2.47040308615262,0.296375,-5.55051937547435,8.9683272991884
-1.28140703517588,-3,-0.688435922858459,-3.53436185906838,2.4267227064899,0.297875,-4.67581040771121,8.9683272991884
-1.25125628140704,-3,-0.67709975152042,-3.49408871581133,2.39531328160052,0.29875,-3.80110143994807,8.9683272991884
-1.22110552763819,-3,-0.665740930410088,-3.4511196986019,2.361524388816,0.299875,-2.92639247218493,8.9683272991884
-1.19095477386935,-3,-0.654354850914661,-3.39942546804331,2.32912066647626,0.301375,-2.0516835044218,8.9683272991884
-1.1608040201005,-3,-0.642936904421335,-3.34469273157862,2.29846422906501,0.302125,-1.17697453665865,8.9683272991884
-1.13065326633166,-3,-0.631482206538031,-3.30071336609423,2.26230355418426,0.3025,-0.302265568895514,8.9683272991884
-1.10050251256281,-3,-0.619984256787967,-3.25721428414652,2.22784170211969,0.30325,0.57244339886763,8.9683272991884
-1.07035175879397,-3,-0.608435947987509,-3.20461951274188,2.18836222734464,0.30525,1.44715236663076,8.9683272991884
-1.04020100502513,-3,-0.596830128973552,-3.1578653503891,2.15912012188403,0.305125,2.3218613343939,8.9683272991884
-1.01005025125628,-3,-0.58515930385204,-3.11309456790883,2.1327429283458,0.30575,3.19657030215705,8.9683272991884
-0.979899497487437,-3,-0.573415743132474,-3.06572295818258,2.10452232917376,0.30625,4.07127926992019,8.9683272991884
-0.949748743718593,-3,-0.561591706467591,-3.02886814440079,2.08038658422151,0.30775,4.94598823768333,8.9683272991884
-0.919597989949749,-3,-0.549679516015787,-2.98855540790712,2.05243217192466,0.31,5.82069720544646,8.9683272991884
