"sample_id","tree","Intercept","log_n_speakers_norm","n_segments_norm","delta_norm"
1,"long_v3_CCD0.0.25",1.91517336988251,0.023615409625421,0.103799031440859,-0.0978983697779812
2,"long_v3_CCD0.0.25",1.89386952766481,0.0626513216885999,0.0594931412584383,-0.0749462140527722
3,"long_v3_CCD0.0.25",1.9419876150421,-0.0237616182547241,0.0578173128979216,-0.0630118914150523
4,"long_v3_CCD0.0.25",1.85883806372277,-0.0121420006263079,0.0198658310506705,-0.0433312083085477
5,"long_v3_CCD0.0.25",1.94053175263093,0.0191256368828108,0.0146893989917639,-0.108264714262773
6,"long_v3_CCD0.0.25",1.73899228527316,-0.0138216694739992,-0.0113265909936209,-0.101758458756766
7,"long_v3_CCD0.0.25",1.8446008489544,-0.0172531001296123,-0.0143308054754739,-0.0954806730461518
8,"long_v3_CCD0.0.25",1.79213397354788,0.00911284327528234,-0.0243225479102418,-0.0477497150900428
9,"long_v3_CCD0.0.25",1.87580415079493,0.0237514472476742,0.0308762912776489,-0.0485164107389301
10,"long_v3_CCD0.0.25",2.09524237286987,0.0305232457475571,0.0333326314653573,-0.0298180172028461
11,"long_v3_CCD0.0.25",1.75464409752994,0.0501077403367275,0.0177859260907432,-0.0941069139159243
12,"long_v3_CCD0.0.25",2.31625998471164,0.0739509153241567,0.0749255531069857,-0.0910632178441754
13,"long_v3_CCD0.0.25",1.84323503443175,-0.0110057109200694,0.00858964155783595,-0.0619927477980971
14,"long_v3_CCD0.0.25",1.66739699254071,-0.00735450751820971,0.0139734715047988,-0.057174694065836
15,"long_v3_CCD0.0.25",2.00500064124156,0.0460009726092027,0.0624179927621568,-0.122325157761622
16,"long_v3_CCD0.0.25",2.02822948255778,0.00575913772848828,0.046753519907191,0.036000721042553
17,"long_v3_CCD0.0.25",1.88515822989001,0.0516123021816906,0.11098750167855,-0.035908365935269
18,"long_v3_CCD0.0.25",1.82598415271567,-0.0190592285589988,0.0133140297620119,-0.0965021608028353
19,"long_v3_CCD0.0.25",2.12844938183002,0.0403710284520128,-0.00405900792927202,-0.130007409860679
20,"long_v3_CCD0.0.25",2.10740344269428,-0.00487014816738522,0.0623955063450048,-0.0770272515181225
21,"long_v3_CCD0.0.25",1.70676830972784,0.015969648819912,0.00745540290385896,-0.0762599453615371
22,"long_v3_CCD0.0.25",1.6613355143104,0.000582903821871106,0.00272981208953491,-0.0428089203983191
23,"long_v3_CCD0.0.25",2.00883024003154,-0.0449001305152077,-0.0321303009487519,-0.076914819294156
