"sample_id","tree","R2_full","partial_R2_phylo","prop_residual","prop_phylo_norm","prop_residual_norm","shapley_longitude_norm","shapley_norm_longitude_norm","shapley_latitude_norm","shapley_norm_latitude_norm","shapley_log_n_speakers_norm","shapley_norm_log_n_speakers_norm","shapley_n_segments_norm","shapley_norm_n_segments_norm","shapley_delta_norm","shapley_norm_delta_norm"
1,"long_v3_CCD0.0.25",0.999628717451843,0.703442190880674,0.000371282548156677,0.678587602342066,0.000358164092815738,0.125294843705163,0.120867824929957,0.0286502363455269,0.0276379430183233,0.0307888534525311,0.029700996775666,0.010619945084695,0.0102447125939451,0.137459589667459,0.132602756247227
2,"long_v3_CCD0.0.25",0.999069845899054,0.83674344084232,0.000930154100945755,0.710144466435452,0.000789422128070613,0.117527494463454,0.0997456278393141,0.036299646312919,0.0308075231958003,0.0174827929946326,0.0148376528538745,0.0237929868222477,0.0201931166795664,0.145495625401686,0.123482190867922
3,"long_v3_CCD0.0.25",0.996329972467912,1.27735944596888,0.00367002753208781,0.888213138488512,0.002551957229347,0.0393535807616082,0.0273645508234498,0.00895383596630849,0.00622605858534507,0.00473654290193427,0.00329355973354975,0.00534374298283434,0.00371577690292109,0.0987054890639699,0.0686349582368752
4,"long_v3_CCD0.0.25",0.994945803559207,0.735804604682436,0.00505419644079315,0.73469974206504,0.00504660720762871,0.081541704265652,0.0814192636336846,0.0318738900168959,0.0318260291183278,0.09484792176395,0.0947055009059834,0.00395664624311552,0.00395070505914296,0.0484248653680014,0.0483521520101928
5,"long_v3_CCD0.0.25",0.992188071867522,0.7832914578368,0.0078119281324779,0.795327005081799,0.00793196114084572,0.0514163560919754,0.0522063863887689,0.0130288635306784,0.0132290565763234,0.0282796443164312,0.0287141709435721,0.00370976587474009,0.00376676772508149,0.0973291556217449,0.0988246521436097
6,"long_v3_CCD0.0.25",0.99661088601429,1.14233158943477,0.00338911398570954,0.848329858306318,0.00251685816436499,0.0569217646705605,0.0422718175739284,0.0207487445899452,0.0154086429201627,0.0420669989475432,0.0312402209538819,0.0722856561361552,0.0536815063110583,0.00882147854462064,0.00655109577028604
7,"long_v3_CCD0.0.25",0.998145209414182,1.03060437790618,0.00185479058581823,0.752340179260175,0.00135399529804016,0.0752265003129186,0.0549152710233188,0.141124844208513,0.103020997063495,0.00879201503260583,0.0064181623011609,0.0102671954611604,0.00749504255885461,0.101995141240078,0.0744563524949556
8,"long_v3_CCD0.0.25",0.995413850168619,1.2740846897396,0.00458614983138084,0.877694946197832,0.00315931944079141,0.0557186093085272,0.0383835879930878,0.047112653429685,0.0324550935665477,0.00150249238725474,0.00103504106564826,0.0149910805617693,0.0103270965839788,0.0536301945943147,0.0369449151521136
9,"long_v3_CCD0.0.25",0.999307509911254,1.44078418402008,0.00069249008874578,0.770359508975655,0.000370261091600983,0.227608185219316,0.121697705839023,0.045121683326444,0.0241256936306222,0.00797426524017522,0.0042636857920821,0.025146283413704,0.0134452326434433,0.122947977971703,0.065737912027573
10,"long_v3_CCD0.0.25",0.999899404516691,0.691094093163205,0.000100595483309137,0.699380971199443,0.000101801719202955,0.173010208376167,0.175084765965387,0.0467030401498901,0.0472630541935237,0.00152209306301103,0.00154034441213665,0.00770921405740601,0.00780165489474057,0.0680118802335691,0.0688274076155659
11,"long_v3_CCD0.0.25",0.999008370125444,0.910718037930154,0.000991629874556514,0.80200895461311,0.00087326264105158,0.0797680320530897,0.0702464136362587,0.0467077902500979,0.0411324520549821,0.00306026266626803,0.00269497029771511,0.0388010655419293,0.034169524174445,0.0554991536980019,0.0488744225824377
12,"long_v3_CCD0.0.25",0.998797189271747,0.717537971960748,0.00120281072825306,0.790100641128744,0.00132444771522316,0.0745604636359367,0.0821005611182241,0.0242633565847454,0.0267170440348366,0.00282221327988513,0.00310761605514207,0.00524502828070779,0.00577544376641341,0.0825283753919276,0.0908742461814169
13,"long_v3_CCD0.0.25",0.992716154234505,0.712203825997783,0.00728384576549513,0.746358502570711,0.0076331522241891,0.0776267136197843,0.081349405355382,0.0290721050637249,0.0304662963183908,0.00609237500283065,0.00638454290503358,0.0163825086560889,0.0171681535293357,0.105576868702156,0.110639947096958
14,"long_v3_CCD0.0.25",0.993476641216795,0.720313544551729,0.00652335878320528,0.737209337249117,0.00667637175724329,0.14367760951191,0.147047735096707,0.047240380258259,0.0483484583692794,0.00474656396204442,0.00485790014520269,0.0230591407753122,0.0236000197651166,0.0315208200890678,0.0322601776173342
15,"long_v3_CCD0.0.25",0.923700650115524,0.558157908561353,0.0762993498844758,0.61199394168799,0.0836586549573161,0.158812991130553,0.174130988636818,0.0338273210440978,0.0370900693602676,0.0200539175492959,0.0219881790780548,0.00685786297467916,0.00751932478077338,0.0580224036501312,0.0636188414987802
16,"long_v3_CCD0.0.25",0.936309741048132,0.855454213750786,0.0636902589518684,0.753373318913004,0.0560901343376586,0.0792924056990773,0.0698304852391702,0.0549529679135286,0.0483954595765141,0.0197048891151222,0.0173535152119749,0.00930618661088042,0.008195684328589,0.0530974985625733,0.0467614023930892
17,"long_v3_CCD0.0.25",0.855342236997307,0.686777018776396,0.144657763002693,0.620380879171855,0.130672558540959,0.0899031001919827,0.0812114599244283,0.0407328473337179,0.0367948823987839,0.00539783197872968,0.00487598107833098,0.00617787628529083,0.005580612362528,0.13337836257199,0.120483626523115
18,"long_v3_CCD0.0.25",0.880307551698393,0.68683450865678,0.119692448301607,0.779522484069105,0.135844884682412,0.0213293957249614,0.0242077870719269,0.00433920438585483,0.0049247778600411,0.00220860846350177,0.00250665907741291,0.0019099196265433,0.00216766233043097,0.0447823844018424,0.0508257449086708
19,"long_v3_CCD0.0.25",0.989146820138189,0.939609824820759,0.0108531798618109,0.759223236863688,0.0087695829984746,0.151419345502164,0.122349812208343,0.0552181666932655,0.0446173657864178,0.0250362021791885,0.0202297442567538,0.0110203777139502,0.00890468215468247,0.0444365110091497,0.0359055757316408
20,"long_v3_CCD0.0.25",0.989083569468746,0.772801262043638,0.0109164305312545,0.825919471114032,0.0116667673484178,0.0766171459987536,0.0818833972064398,0.0303883109492474,0.0324770402689042,0.000915343817301285,0.000978259636214579,0.0139204136224917,0.0148772281069693,0.0301270637303807,0.0321978363190221
21,"long_v3_CCD0.0.25",0.993215290923991,0.915183604551072,0.00678470907600879,0.673542168623882,0.00499330149907868,0.120451168390051,0.0886477213613459,0.0437373160752059,0.0321890892413145,0.0115198890356999,0.0084782233912701,0.0073193180321178,0.00538675443450364,0.253766143943127,0.186762741448605
22,"long_v3_CCD0.0.25",0.991866356101086,0.806474819475403,0.00813364389891364,0.732233252282873,0.00738488590243446,0.145604251270372,0.132200376105071,0.0481544409354591,0.043721492657354,0.0172548769334597,0.0156664465518545,0.00849871669538961,0.00771635123108228,0.067269848610848,0.0610771952693311
23,"long_v3_CCD0.0.25",0.981690505054032,0.69218077553461,0.0183094949459679,0.774436140152222,0.0204853054220415,0.119115291587687,0.133270367959912,0.0370293393792908,0.0414297242496166,0.00346202683923578,0.00387343710956199,0.00547123118610111,0.00612140543541106,0.0182186095672962,0.0203836196712339
24,"long_v3_CCD0.0.25",0.990357455753224,0.795294941744633,0.00964254424677558,0.73827917340949,0.00895125722849091,0.187233790338745,0.173810747069984,0.0491415681550479,0.0456185427735366,0.00283149857935872,0.00262850462256597,0.0243636184268448,0.0226169577213416,0.00871996310497167,0.00809481717459092
25,"long_v3_CCD0.0.25",0.998062518172924,0.706645358633007,0.00193748182707549,0.764426949751478,0.00209590752302588,0.117977441372323,0.127624323213826,0.0309066159536327,0.033433814956741,0.014234256563592,0.0153981756109398,0.012044976305281,0.0130298803839687,0.0406657557427923,0.0439909485600199
26,"long_v3_CCD0.0.25",0.998928266862721,1.15562133646919,0.0010717331372793,0.843730524448754,0.000782482923643974,0.0934882703715899,0.0682567073669908,0.0618661500072429,0.0451690857064994,0.00306151305123989,0.00223524084474032,0.00870517496361558,0.00635573401570312,0.0458427242722929,0.0334702246936685
27,"long_v3_CCD0.0.25",0.999610835424495,0.905693292364643,0.00038916457550503,0.600121874329778,0.00025786452924375,0.355057934816518,0.235265111416947,0.0901649711955863,0.0597442555542306,0.00376335071521767,0.00249363565350051,0.0160520063326826,0.010636227747665,0.138061549644875,0.091481030768635
28,"long_v3_CCD0.0.25",0.99983262481202,0.930463204194834,0.000167375187980133,0.907514703160734,0.00016324712611038,0.0177810765201807,0.0173425325228779,0.0264240886781641,0.0257723775480279,0.0117427453092768,0.0114531278352507,0.00171457636943502,0.00167228887498103,0.0369941284865883,0.0360817229320185
