"sample_id","tree","R2_full","partial_R2_linear","partial_R2_spline","partial_R2_phylo","prop_residual","shapley_log_n_speakers","shapley_n_segments","shapley_delta","shapley_log_n_speakers_n_segments","shapley_log_n_speakers_delta","shapley_n_segments_delta","prop_linear_norm","prop_spline_norm","prop_phylo_norm","prop_residual_norm","shapley_norm_log_n_speakers","shapley_norm_n_segments","shapley_norm_delta","shapley_norm_log_n_speakers_n_segments","shapley_norm_log_n_speakers_delta","shapley_norm_n_segments_delta"
1,"long_v3_CCD0.0.25",0.885329585999767,0.281305827911065,0.285214761382716,0.757309634286333,0.114670414000233,0.0219179792016896,0.00588868003769242,0.120590563005164,0.00339501035394497,0.0183128608818175,0.00195842830962952,0.129443252464743,0.214566841247191,0.56972344379063,0.0862664624974373,0.0164888785595413,0.00443004937289203,0.0907201859496969,0.00255406362600566,0.013776750875591,0.00147332408101562
2,"long_v3_CCD0.0.25",0.720759327683993,0.11298074162506,0.165525130798602,0.595908849307301,0.279240672316007,0.00362417326499016,0.00423647829368636,0.0123840383293891,0.00626112058022512,0.0700485477316028,0.0117964934264343,0.094298038855175,0.144056968461906,0.518621081262164,0.243023911420755,0.00315412778238734,0.00368701850286215,0.0107778620106845,0.00544907015394,0.0609634403107749,0.0102665200945261
3,"long_v3_CCD0.0.25",0.940914659998917,0.135526645343878,0.0498771510300688,0.658191133201559,0.0590853400010826,0.0272572319874448,0.010723406649035,0.0671168045281431,0.00411940065675175,0.0611536336525975,0.00970406492188959,0.190106828259545,0.0526558993780711,0.694860178772164,0.0623770935902196,0.028775782802638,0.0113208274699034,0.0708560058629052,0.00434890008751931,0.0645606157070466,0.0102446963295326
4,"long_v3_CCD0.0.25",0.979204423732538,0.200756762919164,0.258694698030697,0.904390323643773,0.0207955762674621,0.0103517717597922,0.0310294608611933,0.0687294188623438,0.0259013228056096,0.00188060179055342,0.0590077099950765,0.142600674990382,0.187353910403358,0.654984678679086,0.0150607359271738,0.00749704162305631,0.0224724003789312,0.0497757607002926,0.0187584598725514,0.00136198423104107,0.0427350281845091
5,"long_v3_CCD0.0.25",0.992983760311284,0.364258524321565,0.630831258973719,0.830233728045773,0.00701623968871599,0.00493761925561839,0.0112819444182206,0.248485305384244,0.0105512152059182,0.00508883936956437,0.0894823681506524,0.201221817116107,0.343233220057747,0.451727449811694,0.00381751301445144,0.00268654245080084,0.00613846897422014,0.13520004009126,0.00574088160523516,0.00276882081907895,0.048687063175512
6,"long_v3_CCD0.0.25",0.984776060705022,0.236465230403923,0.453341146473453,0.86542959928398,0.0152239392949783,0.00189015110501244,0.0391521960016692,0.110890953231653,0.019201019765973,0.00846017330740803,0.0100738871962638,0.124481839116953,0.29753372427976,0.567992766109929,0.00999167049335801,0.00124053089400917,0.0256960983593179,0.0727791830955689,0.0126018804279743,0.00555252240346273,0.00661162393661982
7,"long_v3_CCD0.0.25",0.940083329424533,0.191166589655641,1.64188518950539,0.891875631180219,0.0599166705754673,0.00407622033237349,0.0230041779663782,0.133922400166511,0.0383560269646643,0.0012591123064739,0.0224833117581486,0.0792043926867685,0.582894625605183,0.316629637349849,0.0212713443581991,0.00144712123582699,0.00816683881965367,0.0475445224819417,0.0136169825516274,0.000447004334510181,0.00798192326320853
8,"long_v3_CCD0.0.25",0.820501903810645,0.237154911054185,1.23448935408996,0.589142657921565,0.179498096189355,0.111278051393912,0.0158019767523029,0.0549462777028726,0.00719036783285863,0.0349578736720251,0.0443456266183459,0.118204890990278,0.543432835493046,0.259345667132335,0.0790166063843404,0.0489855556848552,0.00695616613010775,0.0241878242148733,0.0031652617875582,0.0153887567757931,0.0195213263970906
9,"long_v3_CCD0.0.25",0.813320644786808,0.127921230593594,0.2139082187703,0.884091604070246,0.186679355213192,0.0256509184267736,0.00630433356368592,0.134632047138548,0.0255858325673972,0.0205864850659906,0.0257740075124151,0.156599014865265,0.140432261627066,0.580412403781486,0.122556319726182,0.0168400097396509,0.00413883966445689,0.0883868931069478,0.0167972804116956,0.0135151733457859,0.016920818596728
10,"long_v3_CCD0.0.25",0.818140446747898,0.00623279623435824,0.776631825940808,0.655347064046862,0.181859553252102,0.0437771877627085,0.0366895456534007,0.00803912670140569,0.0022357316844848,0.0184394434218862,0.00773948380800442,0.0675544784574909,0.448723272778238,0.378647216817935,0.105075031946336,0.0252936363277587,0.0211985299242621,0.00464485631832531,0.00129176374828667,0.010653963852762,0.00447172828609604
11,"long_v3_CCD0.0.25",0.899358100515081,0.363077536601164,1.52125747763685,1.33749967680904,0.100641899484919,0.00885227858422284,0.0337744747784147,0.0430479861591405,0.00577394057955163,0.114644284052538,0.0726683017122305,0.0860863077599511,0.469790661177722,0.413043069125411,0.0310799619369159,0.00273373697099038,0.0104301428721519,0.0132939638275354,0.00178309287043384,0.0354041408486311,0.0224412303702085
12,"long_v3_CCD0.0.25",0.865401101654449,0.193256907579665,0.699246649439757,0.740645102875373,0.134598898345551,0.00700308903834303,0.0395000628616252,0.131721077106857,0.0425165974512509,0.0240094206796297,0.0296242349051691,0.148401566555405,0.378203167484295,0.400594445627488,0.0728008203328111,0.00378777711498219,0.0213644912021598,0.0712442864419452,0.0229960513069333,0.0129860314064776,0.0160229290829073
13,"long_v3_CCD0.0.25",0.935904527790881,0.23471453977005,0.329805845638097,0.789214138465773,0.0640954722091188,0.0249545888861433,0.0452487633795303,0.179998109505308,0.0086043188380716,0.00281394264206095,0.00624764730648618,0.184610986151589,0.227298241943639,0.543916939505006,0.0441738323997651,0.0171984040224406,0.0311849062177536,0.124052542988065,0.00592999357313483,0.00193933559374368,0.00430580375645162
14,"long_v3_CCD0.0.25",0.79607261135866,0.0941421950512583,0.607426113160242,0.51734001778774,0.20392738864134,0.00649703448850434,0.00826733281901065,0.129338624150636,0.00420222422590956,0.0266558002316172,0.0220425813287585,0.129123660961799,0.398130209763271,0.339084351723338,0.133661777551592,0.00425840385802621,0.00541872480965793,0.0847734604225046,0.00275429780887987,0.0174712267182725,0.0144475473444578
15,"long_v3_CCD0.0.25",0.864084429388524,0.265613391996331,0.18850641344189,0.556206351140084,0.135915570611476,0.010988213710191,0.0103540019567202,0.0376771569382111,0.0532435383989475,0.00176559186813281,0.115883599729724,0.207027222762229,0.169742953094179,0.500842951963329,0.122386872180263,0.00989447420033133,0.00932339031010413,0.0339268662859383,0.0479438087861488,0.00158984923740178,0.104348833942305
16,"long_v3_CCD0.0.25",0.919271189118496,0.212533925596687,0.056922946400705,0.862639177602432,0.0807288108815035,0.00304354592472192,0.0114022848869305,0.051754251775977,0.0283918966473264,0.0430482716130462,0.0737641615792404,0.17446993825324,0.0469779359366091,0.711927449021057,0.0666246767890943,0.00251180788262821,0.00941019119387245,0.0427122641766287,0.0234315471379115,0.0355273061900813,0.0608768216721178
