"sample_id","tree","R2_full","partial_R2_linear","partial_R2_spline","partial_R2_phylo","prop_residual","shapley_log_n_speakers","shapley_n_segments","shapley_delta","prop_linear_norm","prop_spline_norm","prop_phylo_norm","prop_residual_norm","shapley_norm_log_n_speakers","shapley_norm_n_segments","shapley_norm_delta"
1,"heggarty2024",-0.00105013202354121,-0.0533257660242304,0.069579242326435,-0.0259883071247789,1.00105013202354,0.00174053575897169,0.0186068108709083,0.00927691877799571,0.0269249419746482,0.0632392748473418,0,0.90983578317801,0.00158194046906743,0.0169113831561633,0.00843161834941751
2,"heggarty2024",0.0532979849525339,-0.208528664731448,0.198469941647004,0.945582501785564,0.946702015047466,0.271401473361603,0.00216157048259014,0.00108479531847885,0.116110413622401,0.0839053643622457,0.399755467696935,0.400228754318419,0.11473797655142,0.000913827844313969,0.000458609226667247
3,"heggarty2024",0.131443992628423,-0.08763744983892,1.11093884912721,0.0560899475442816,0.868556007371577,0.00502587873367936,0.14510561466269,0.00239495310487001,0.0697068974273121,0.50771588914908,0.0256339560112992,0.396943257412309,0.00229690274314395,0.0663154648222728,0.00109452986189539
4,"heggarty2024",0.121684994831854,0.172512207390405,5.1183444153926,-0.0992732636147508,0.878315005168146,0.103741318767089,0.0446283430326409,0.0375212296560766,0.0300670244598745,0.827869432044,0,0.142063543496125,0.0167796966513083,0.00721843588492926,0.00606889192363698
5,"heggarty2024",0.333636896997948,0.0303704957537846,0.28652784660177,0.304809268579366,0.666363103002052,0.0171202848039571,0.000167500345280546,0.00647977364426454,0.0185471372909398,0.223593485337386,0.237859487421907,0.519999889949768,0.0133599026924799,0.000130709759769162,0.00505652483869081
6,"heggarty2024",0.200760580630061,0.0312005210121653,6.63438013020323,-0.0582308000171485,0.799239419369939,0.0380343967453993,0.0901181215973037,0.123513153968357,0.0327464323112471,0.863257502963131,0,0.103996064725622,0.00494898961421686,0.0117260607765978,0.0160713819204324
7,"heggarty2024",0.3383668028256,0.147838968587628,3.12594138267703,0.249385775325326,0.6616331971744,0.123899970493278,0.0012178711784544,0.00258456778491531,0.0306633253816143,0.750586916478024,0.059881385221182,0.158868372919179,0.0297503009236293,0.000292429722952995,0.000620594735032001
8,"heggarty2024",0.295995882359349,0.054061643749942,0.440757782957622,-0.00364047748970794,0.704004117640651,0.00383293404018799,0.00481228652245796,0.0370928933647029,0.0384192468452628,0.370229128584472,0,0.591351624570265,0.00321960016247064,0.00404223978474751,0.0311574068980446
9,"heggarty2024",0.0731361452238757,0.213431614510306,0.218568243306376,0.00975916489090798,0.926863854776124,0.0191763606051443,0.00826619051802547,0.130996636245837,0.120611689023886,0.166384878829052,0.00742915550439938,0.705574276642662,0.0145979872803236,0.00629263010450982,0.0997210716390523
10,"heggarty2024",0.178007243242946,-0.0230629426401856,1.03945061545778,0.142249942370854,0.821992756757054,0.000799519727808798,0.0857599930172502,0.00376326667343385,0.0431337560762379,0.496390939130817,0.0679316375734456,0.392543667219499,0.000381811644188443,0.0409547917338399,0.00179715269820956
