"sample_id","tree","R2_full","partial_R2_linear","partial_R2_spline","partial_R2_phylo","prop_residual","shapley_log_n_speakers","shapley_n_segments","shapley_delta","prop_linear_norm","prop_spline_norm","prop_phylo_norm","prop_residual_norm","shapley_norm_log_n_speakers","shapley_norm_n_segments","shapley_norm_delta"
1,"long_v3_CCD0.0.25",0.984052404134827,0.0508188788902945,0.216933220187737,0.711728163384954,0.0159475958651727,0.0105442394421161,0.00406961089730672,0.0639135563461094,0.0767516508557261,0.212027666232929,0.695633713196,0.0155869697153448,0.0103058004632868,0.00397758397854096,0.0624682664138983
2,"long_v3_CCD0.0.25",0.9553378745588,0.717053802280736,0.638845382647903,1.15511969396792,0.0446621254411995,0.0150311160285568,0.263906196550409,0.434046352749482,0.27942492111229,0.250369439483733,0.452702137591821,0.0175035018121564,0.00589083399066979,0.103427289765709,0.170106797355911
3,"long_v3_CCD0.0.25",0.987786133878076,0.0755818942074624,0.246463361852096,1.15742842185382,0.0122138661219243,0.00148385471980467,0.0116414223055125,0.0618516547176876,0.0502835541570186,0.165291557220425,0.7762336145289,0.00819127409365689,0.00099515260800742,0.00780736254946278,0.0414810389995484
4,"long_v3_CCD0.0.25",0.98652929015213,0.0865346714247926,0.360327319256364,0.873958733759907,0.0134707098478701,0.00101723176851255,0.0115808761258533,0.0559784717759368,0.0520966668961424,0.273735616665758,0.663934206875899,0.0102335095622009,0.000772776724286259,0.00879782935799205,0.0425260608138641
5,"long_v3_CCD0.0.25",0.982887062303218,0.0310556302748855,0.0994354419079433,1.93738587450845,0.0171129376967821,9.0063672837495e-05,0.000899637276668207,0.0306632790077082,0.0151770107910747,0.0476774312210752,0.92894022501629,0.00820533297155986,4.31838435555247e-05,0.000431359217189112,0.0147024677303301
6,"long_v3_CCD0.0.25",0.970777246746745,0.275834905832501,0.0890134044340189,0.929384237380048,0.0292227532532553,0.0104051040049968,0.0125047099053409,0.250708585210742,0.207092313913743,0.0673711707721216,0.703418822901685,0.0221176924124499,0.00787526376818836,0.00946438294148194,0.189752667204073
7,"long_v3_CCD0.0.25",0.967040867047502,0.0181042989050046,0.214203934581219,1.11044771399505,0.032959132952498,0.000212549764497062,0.000668238492434473,0.0173183260675878,0.0132279280584998,0.1556929741724,0.807122929804444,0.0239561679646565,0.000154490649571347,0.000485705542930424,0.012587731865998
8,"long_v3_CCD0.0.25",0.977198054356941,0.0206363829658601,0.248302282988496,1.0398620217173,0.0228019456430591,0.000648716840509424,0.00616130048959345,0.0201107579332826,0.0201218598790627,0.185592862652113,0.777242025530101,0.0170432519387237,0.00048488162908416,0.00460524720820425,0.0150317310417743
9,"long_v3_CCD0.0.25",0.964303331943595,0.0345975301936926,0.192765897193261,0.880701941069888,0.0356966680564055,0.00962924375040444,0.0368119740143009,0.0153514808556402,0.0527710990287788,0.164622495493467,0.752121373312777,0.0304850321649779,0.00822339510767916,0.0314375058789533,0.0131101980421463
10,"long_v3_CCD0.0.25",0.963418897894439,0.0505680678541299,0.17871662517704,0.928920828978053,0.0365811021055608,0.00163167134620397,0.0297012696363953,0.0164849405926199,0.0401144462177951,0.149925471658818,0.779272176163085,0.0306879059603021,0.00136880995782835,0.0249164108526058,0.013829225407361
11,"long_v3_CCD0.0.25",0.978583311200288,0.02100804230632,0.0995582285504672,1.32790440312329,0.0214166887997121,0.0259086279962501,0.00281883531360887,0.000748963853372169,0.0199386563148634,0.0673438911504358,0.898230622261305,0.0144868302733959,0.0175253000082474,0.00190673680412516,0.000506619502490833
12,"long_v3_CCD0.0.25",0.945947371780827,0.0125327192409317,0.0914317585180913,1.19578283602088,0.0540526282191732,0.00103766342947508,0.00772997093632214,0.0149995075188371,0.0174113872150421,0.0669812869817519,0.876009327672721,0.0395979981304855,0.000760173850822159,0.00566283980575465,0.0109883735584653
13,"long_v3_CCD0.0.25",0.951336621901807,0.0242242072016788,0.101605553123255,1.18536531327126,0.0486633780981929,0.00390272613815391,0.0128140372472038,0.0166128957056402,0.0243466310570694,0.0742207686099462,0.865885002641913,0.0355475976910719,0.00285086124472476,0.00936039088661059,0.012135378925734
14,"long_v3_CCD0.0.25",0.950302117673301,0.0315523935831997,0.0513566968348406,1.24873386533378,0.0496978823266995,0.0118155010402438,0.000495239734007288,0.00724041870240103,0.0142778018104064,0.0375047188337159,0.911924157974868,0.0362933213810099,0.00862861265822679,0.000361663193389553,0.00528752595879002
15,"long_v3_CCD0.0.25",0.948508819715486,0.0489363571618221,0.0424422756522369,1.22204205428587,0.0514911802845145,0.00507880737644847,0.0018165821148945,0.0468373823604381,0.0392293545676773,0.030986361262238,0.892191476301148,0.0375928078689367,0.00370794821270751,0.00132625474976563,0.0341951516052042
16,"long_v3_CCD0.0.25",0.940222238654514,0.0445307597449606,0.0681709804001215,1.20036898446899,0.0597777613454856,0.00012499971613689,0.00144875087722141,0.0402361959632354,0.0305153653834535,0.0497552029310089,0.876100095140148,0.0436293365453896,9.12321666228876e-05,0.00105738385262389,0.0293667493642067
17,"long_v3_CCD0.0.25",0.912651994334904,0.119941895808008,0.0769588530645387,0.713189413250624,0.0873480056650965,0.0173069489304986,0.0184240568965248,0.0832572630699302,0.119408042991021,0.077230353214302,0.715705446491722,0.0876561573029557,0.0173680054436802,0.0184890544115275,0.0835509831358128
18,"long_v3_CCD0.0.25",0.959885559842196,0.0910159694619236,0.155108050822282,1.03134792098155,0.0401144401578036,0.0193625309087264,0.0132564906646473,0.0898181295668666,0.0907609078623037,0.114979378222039,0.764523453530604,0.0297362603850533,0.0143531670528256,0.00982684680741567,0.0665808940020624
19,"long_v3_CCD0.0.25",0.964749676336197,0.0526388615449858,0.243171212509401,0.825984103885867,0.0352503236638031,0.000207931772959491,0.0113596115220796,0.0365245231234741,0.0417285571573921,0.210994964365363,0.716690453476345,0.0305860250008998,0.000180418383299867,0.00985651551255431,0.0316916232615379
20,"long_v3_CCD0.0.25",0.945204661347226,0.0550308482517071,0.119127235346463,1.31902368994443,0.0547953386527735,0.00712908701340136,0.00293102390647121,0.0616971371997087,0.0458599648855909,0.0761340627333158,0.842986341997239,0.0350196303838542,0.00455619033154774,0.00187321360492526,0.0394305609491179
21,"long_v3_CCD0.0.25",0.938123550169362,0.0731103337047851,0.10946710708817,1.28534149617506,0.0618764498306379,0.00974312178117367,0.00242134197535809,0.070558762787391,0.0537370284661497,0.0711098598962494,0.834958154491342,0.0401949571462593,0.00632913432391446,0.00157290434733,0.0458349897949053
22,"long_v3_CCD0.0.25",0.969251342604342,0.0783587449312305,0.397445874548538,1.33271108339582,0.0307486573956584,0.00775585752010109,0.00175252732480271,0.0592318926457953,0.0375702630547534,0.217225571410233,0.728398368568429,0.0168057969665846,0.00423899375856916,0.000957850550027092,0.0323734187461571
23,"long_v3_CCD0.0.25",0.958441642479828,0.102085188942989,0.568382436042634,1.4706430887544,0.041558357520172,0.00251802732239179,0.0104686458751263,0.0921926107007989,0.048120164857763,0.260038436381351,0.672828196341464,0.0190132024194218,0.001152012881044,0.0047894694342626,0.0421786825424564
24,"long_v3_CCD0.0.25",0.953736406404876,0.0523142235443208,0.0336854425655506,1.1061392785652,0.0462635935951242,0.00316169885773572,0.00104386597398709,0.0305095819471978,0.028436310899815,0.0275928465373362,0.906074821578359,0.0378960209844904,0.00258985082974661,0.00085506472327691,0.0249913953467915
25,"long_v3_CCD0.0.25",0.975503993467237,0.127447073601906,0.607535766960457,0.849776592667819,0.0244960065327625,0.00127064497532487,0.0349401799705842,0.105202025384381,0.0871186557282445,0.37427786230744,0.52351249727049,0.0150909846938249,0.000782792242003486,0.0215252114841803,0.0648106520020608
26,"long_v3_CCD0.0.25",0.970682133052371,0.033834946041117,0.0790315802472846,0.744584571441586,0.0293178669476291,0.000903451885139004,0.00571721077094701,0.0226134382055029,0.0331389224065609,0.089587889768959,0.844039310630743,0.0332338771937367,0.00102412665473904,0.00648086305159138,0.0256339327002305
27,"long_v3_CCD0.0.25",0.956798843197386,0.0238435638570644,0.054614085830088,0.915066851351568,0.0432011568026142,0.0197631013141436,0.000661512927247818,0.0195477410302728,0.0379656991523502,0.0518723987619414,0.869129490784085,0.0410324113016238,0.0187709719307454,0.000628304252041027,0.0185664229695638
28,"long_v3_CCD0.0.25",0.966137330752164,0.0316965571942581,0.0915449247947989,0.828090688740041,0.0338626692478357,0.0116407875983387,0.000439126688741755,0.0168216280856387,0.0294193276837641,0.0931849970355181,0.842926339699882,0.0344693355808358,0.0118493380192707,0.000446993858811299,0.0171229958056821
29,"long_v3_CCD0.0.25",0.976719072674322,0.10044823229982,0.105108924798837,0.906921304624895,0.0232809273256779,0.0149232418090628,0.0391398430881399,0.0362767808038288,0.0802556599685484,0.093376119865306,0.805686031049489,0.0206821891166566,0.0132574319317689,0.0347708502080298,0.0322273778287497
30,"long_v3_CCD0.0.25",0.978006184510193,0.0808701734282673,0.117756760851808,0.751958165603778,0.0219938154898073,0.00373228575495405,0.0113232423073056,0.0409260384307757,0.0590715827676659,0.124256584459372,0.793464023962458,0.0232078088105048,0.00393829684837021,0.0119482516666902,0.0431850342526055
31,"long_v3_CCD0.0.25",0.953543853526998,0.135886364371637,0.397590782629386,0.804243373087768,0.0464561464730023,0.00277797962682403,0.00351607305396269,0.105142131438249,0.0819548528627366,0.292404970141162,0.59147437457866,0.0341658024174418,0.00204304296106234,0.0025858678854647,0.0773259420162095
32,"long_v3_CCD0.0.25",0.969739644701778,0.20463405051745,0.11542299839716,0.881380312238068,0.0302603552982215,0.00434990183079925,0.00680759555990967,0.180601014016905,0.157330999527714,0.0947004415762783,0.723141019767834,0.024827539128174,0.00356893885889805,0.00558538865346286,0.148176672015353
33,"long_v3_CCD0.0.25",0.986635660195172,0.0714581749912736,0.273473896568149,1.01114639638314,0.0133643398048281,0.011650033491941,0.042402993848683,0.0104895451630774,0.0473697495760414,0.200710778847165,0.742110977659581,0.00980849391721295,0.00855031257135115,0.0311208419802503,0.00769859502443998
34,"long_v3_CCD0.0.25",0.935851786184557,0.115387283980481,0.142569907313875,0.95418772596398,0.0641482138154425,0.000845771941956508,0.00743661371656898,0.178555856523054,0.138630355472086,0.105784108755084,0.70798880407434,0.0475967316984903,0.000627546393033381,0.00551782328392186,0.132484985795131
35,"long_v3_CCD0.0.25",0.901806566423486,0.182490591477524,0.203244914868687,0.841912327225622,0.0981934335765142,0.018280785136038,0.0146134135077396,0.1175473789428,0.116279547359948,0.157092388176675,0.650732237038772,0.0758958274246047,0.0141296140010208,0.0112950231932114,0.0908549101657157
36,"long_v3_CCD0.0.25",0.931694459041283,0.365493553311284,0.49399729353439,0.82002827614582,0.068305540958717,0.00876062060916945,0.0958631833031632,0.247531443760668,0.203031431170051,0.28480898172942,0.472778740643371,0.0393808464571579,0.00505084434200777,0.0552689174197145,0.142711669408329
37,"long_v3_CCD0.0.25",0.962922338182687,0.322549267747991,0.497010056418561,0.880380879915262,0.0370776618173129,0.0309133068914349,0.0871085733246087,0.269164274703616,0.214905854886863,0.275863095063825,0.488651268182605,0.020579781866707,0.0171582856475389,0.0483492040726106,0.149398365166713
38,"long_v3_CCD0.0.25",0.983332999015294,0.119470048848791,0.137888581608082,0.824347659266043,0.0166670009847064,0.00391255937540851,0.0135368375601136,0.125742038865746,0.127610832358518,0.122884979630792,0.734650716804978,0.0148534712057115,0.00348683533867869,0.012063899624176,0.112060097395663
39,"long_v3_CCD0.0.25",0.982325720830441,0.048977880211964,0.386269994960446,0.748325764854229,0.0176742791695588,0.00700883051589691,0.0205270272389236,0.0388996527988384,0.0545131763606474,0.316951042938068,0.614033279111577,0.0145025015897076,0.00575104504821079,0.016843303328443,0.0319188279839936
40,"long_v3_CCD0.0.25",0.98382583412616,0.137248966544443,0.261760216880491,1.07363899680656,0.0161741658738403,0.0283713783503697,0.0683418126127355,0.0577493432170406,0.10256231791741,0.173807420189782,0.712890700022957,0.0107395618698516,0.0188384474045471,0.0453786075014455,0.0383452630114174
41,"long_v3_CCD0.0.25",0.977752383327907,0.215019246530819,0.532500110669617,0.901547731349206,0.0222476166720926,0.102896399043143,0.0396132856603919,0.0908275372685325,0.138099377836673,0.315157321921989,0.53357616816186,0.0131671320794784,0.0608986794708349,0.0234449097213534,0.0537557886444842
